scope,seed,run_id,actor_id,driver_id,archetype,fleet,total_checkpoints,ready,queued,suppressed,expired,superseded,offered,displayed,accepted,dismissed,expanded,execution_observed,attached,unattached,first_checkpoint_min,first_attached_step,median_steps_between_attached,trip_transition_count,two_route_legs,topics,actions,final_payout_vnd,final_trips_done
seed,1000,1000-B-sp+al-all-c9beb6ef2,29,d-29,P2,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,521.0,36,,36,1,energy;shift_timing,ONLINE;SWAP,235147,11
seed,1000,1000-B-sp+al-all-c9beb6ef2,30,d-30,P2,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,518.0,23,,12,1,energy;shift_timing,ONLINE;SWAP,75635,4
seed,1000,1000-B-sp+al-all-c9beb6ef2,31,d-31,P3,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,578.0,47,,48,1,energy;shift_timing,ONLINE;SWAP,324961,15
seed,1000,1000-B-sp+al-all-c9beb6ef2,32,d-32,P3,charge,2,1,0,1,0,0,0,0,0,0,0,2,1,1,584.0,30,,45,1,energy;shift_timing,ONLINE;SWAP,366030,15
seed,1000,1000-B-sp+al-all-c9beb6ef2,33,d-33,P3,swap,3,2,0,1,0,0,0,0,0,0,0,2,2,1,555.0,30,42.0,61,1,bonus_eligibility;energy;shift_timing,ONLINE;PROTECT_ELIGIBILITY;SWAP,491092,20
seed,1000,1000-B-sp+al-all-c9beb6ef2,34,d-34,P3,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,569.0,31,,43,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,333626,13
seed,1000,1000-B-sp+al-all-c9beb6ef2,35,d-35,P3,swap,3,2,0,1,0,0,0,0,0,0,0,3,2,1,550.0,8,76.0,48,1,bonus_eligibility;energy;shift_timing,ONLINE;PROTECT_ELIGIBILITY;SWAP,330636,15
seed,1000,1000-B-sp+al-all-c9beb6ef2,36,d-36,P4,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,372.0,1,,56,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,333320,16
seed,1000,1000-B-sp+al-all-c9beb6ef2,37,d-37,P4,swap,3,2,0,1,0,0,0,0,0,0,0,3,2,1,407.0,1,42.0,40,1,bonus_eligibility;energy;shift_timing,ONLINE;PROTECT_ELIGIBILITY;SWAP,322500,12
seed,1000,1000-B-sp+al-all-c9beb6ef2,38,d-38,P4,swap,3,2,0,1,0,0,0,0,0,0,0,3,2,1,391.0,1,48.0,34,1,bonus_eligibility;rest;shift_timing,ONLINE;PROTECT_ELIGIBILITY;REST,282499,10
seed,1000,1000-B-sp+al-all-c9beb6ef2,39,d-39,P4,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,371.0,1,,30,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,282500,8
seed,1000,1000-B-sp+al-all-c9beb6ef2,40,d-40,P4,swap,3,2,0,1,0,0,0,0,0,0,0,3,2,1,449.0,1,62.0,30,1,bonus_eligibility;energy;shift_timing,ONLINE;PROTECT_ELIGIBILITY;SWAP,262499,10
seed,1000,1000-B-sp+al-all-c9beb6ef2,41,d-41,P4,swap,3,2,0,1,0,0,0,0,0,0,0,2,2,1,430.0,1,116.0,37,1,bonus_eligibility;energy;shift_timing,ONLINE;PROTECT_ELIGIBILITY;SWAP,292500,11
seed,1000,1000-B-sp+al-all-c9beb6ef2,42,d-42,P4,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,478.0,1,,37,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,262500,11
seed,1000,1000-B-sp+al-all-c9beb6ef2,43,d-43,P4,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,370.0,1,,28,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,282501,8
seed,1000,1000-B-sp+al-all-c9beb6ef2,44,d-44,P4,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,408.0,1,,32,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,262500,10
seed,1000,1000-B-sp+al-all-c9beb6ef2,45,d-45,P4,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,375.0,1,,30,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,262500,9
seed,1000,1000-B-sp+al-all-c9beb6ef2,46,d-46,P4,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,370.0,1,,26,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,282500,8
seed,1000,1000-B-sp+al-all-c9beb6ef2,47,d-47,P4,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,416.0,1,,33,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,282499,9
seed,1000,1000-B-sp+al-all-c9beb6ef2,48,d-48,P4,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,376.0,1,,25,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,312501,8
seed,1000,1000-B-sp+al-all-c9beb6ef2,49,d-49,P4,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,384.0,1,,22,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,262502,6
seed,1000,1000-B-sp+al-all-c9beb6ef2,50,d-50,P4,swap,3,2,0,1,0,0,0,0,0,0,0,3,2,1,445.0,1,65.0,33,1,bonus_eligibility;energy;shift_timing,ONLINE;PROTECT_ELIGIBILITY;SWAP,262498,9
seed,1000,1000-B-sp+al-all-c9beb6ef2,51,d-51,P4,swap,3,2,0,1,0,0,0,0,0,0,0,3,2,1,426.0,1,42.0,38,1,bonus_eligibility;energy;shift_timing,ONLINE;PROTECT_ELIGIBILITY;SWAP,262501,11
seed,1000,1000-B-sp+al-all-c9beb6ef2,52,d-52,P5,swap,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1017.0,,,41,1,shift_timing,ONLINE,287668,12
seed,1000,1000-B-sp+al-all-c9beb6ef2,53,d-53,P5,swap,1,0,0,1,0,0,0,0,0,0,0,1,0,1,956.0,,,24,1,shift_timing,ONLINE,139039,8
seed,1000,1000-B-sp+al-all-c9beb6ef2,54,d-54,P5,swap,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1018.0,,,36,1,shift_timing,ONLINE,240204,11
seed,1000,1000-B-sp+al-all-c9beb6ef2,55,d-55,P5,swap,1,0,0,1,0,0,0,0,0,0,0,1,0,1,908.0,,,39,1,shift_timing,ONLINE,294178,13
seed,1000,1000-B-sp+al-all-c9beb6ef2,56,d-56,P5,swap,3,2,0,1,0,0,0,0,0,0,0,3,2,1,987.0,18,42.0,40,1,bonus_eligibility;energy;shift_timing,ONLINE;PROTECT_ELIGIBILITY;SWAP,308568,12
seed,1000,1000-B-sp+al-all-c9beb6ef2,57,d-57,P5,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,998.0,,,34,1,shift_timing,ONLINE,218458,10
seed,1000,1000-B-sp+al-all-c9beb6ef2,58,d-58,P5,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,1019.0,31,,49,1,energy;shift_timing,ONLINE;SWAP,346535,14
seed,1000,1000-B-sp+al-all-c9beb6ef2,59,d-59,P5,swap,1,0,0,1,0,0,0,0,0,0,0,1,0,1,902.0,,,27,1,shift_timing,ONLINE,181235,9
seed,1000,1000-B-sp+al-all-c9beb6ef2,60,d-60,P5,swap,2,1,0,1,0,0,0,0,0,0,0,1,1,1,908.0,22,,43,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,281504,13
seed,1000,1000-B-sp+al-all-c9beb6ef2,61,d-61,P5,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,908.0,,,21,1,shift_timing,ONLINE,176597,7
seed,1000,1000-B-sp+al-all-c9beb6ef2,62,d-62,P5,charge,2,1,0,1,0,0,0,0,0,0,0,2,1,1,923.0,34,,30,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,154647,9
seed,1000,1000-B-sp+al-all-c9beb6ef2,63,d-63,P6,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,300.0,1,,28,1,rest;shift_timing,ONLINE;REST,176773,9
