actor_id,archetype,existing_bonus,existing_checkpoints,existing_expired,existing_online_suppressed,existing_ready,existing_rest,existing_suppressed,existing_swap_now,fleet,has_two_route_legs,run_id,seed,shift_duration_min,shift_end_min,shift_start_min
49,P4,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,515.442,899.806,384.364
50,P4,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,528.02,973.854,445.835
51,P4,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,539.683,965.856,426.173
52,P5,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,422.248,1440.0,1017.752
53,P5,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,483.787,1440.0,956.213
54,P5,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,421.409,1440.0,1018.591
55,P5,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,523.642,1431.997,908.355
56,P5,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,452.485,1440.0,987.515
57,P5,0,1,0,1,0,0,1,0,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,441.419,1440.0,998.581
58,P5,0,2,0,1,1,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,420.406,1440.0,1019.594
59,P5,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,512.365,1415.306,902.942
60,P5,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,531.8,1440.0,908.2
61,P5,0,1,0,1,0,0,1,0,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,500.557,1408.582,908.025
62,P5,1,2,0,1,1,0,1,0,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,516.326,1439.736,923.41
63,P6,0,2,0,1,1,1,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,517.143,817.143,300.0
64,P6,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,534.638,852.939,318.301
65,P6,0,2,0,1,1,1,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,469.251,789.011,319.76
66,P6,0,3,0,1,2,1,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,499.112,807.025,307.913
67,P6,1,3,0,1,2,1,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,517.608,843.921,326.313
68,P6,0,3,0,1,2,1,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,535.54,872.574,337.034
69,P6,0,2,0,1,1,1,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,492.345,792.345,300.0
70,P6,1,4,0,1,3,1,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,531.089,831.089,300.0
71,P6,0,2,0,1,1,1,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,463.751,791.274,327.523
72,P6,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,461.338,790.966,329.627
73,P6,0,2,0,1,1,1,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,530.509,847.338,316.828
