seed,run_id,actor_id,archetype,fleet,checkpoints,ready_checkpoints,checkpoint_topics,current_future_distinct,swap_soon_candidates,checkpoint_execution_links,max_topic_revisions,trips,payout_vnd,points,soc_end_pct,online_min,rest_min,charge_min,idle_min,longest_inferred_idle_min,long_idle_blocks_30m,empty_share,high_empty_share_40pct,soc_skips,repeated_soc_skips,swap_started,swap_failed,swap_done,swap_wait_max_min,battery_stranded,rest_events,cancel_after_accept,decline_economics,decline_behavior,mission_completed,newbie_events,ratings,recap_inputs_present,energy_event_count
1000,1000-B-sp+al-all-c9beb6ef2,22,P2,swap,13,0,shift_timing,11,10,13,13,15,331599,95,59.616,678.53,66.947,10.923,222.0,40.0,2,0.4713,True,0,False,2,0,2,0.0,0,2,0,0,0,1,0,11,True,4
1000,1000-B-sp+al-all-c9beb6ef2,23,P2,swap,10,2,energy;shift_timing,7,4,10,8,13,311409,85,79.62,640.812,29.2,47.815,234.0,40.0,1,0.4595,True,0,False,2,0,2,31.0,0,1,2,1,0,1,0,9,True,4
1000,1000-B-sp+al-all-c9beb6ef2,24,P2,swap,14,3,bonus_eligibility;energy;shift_timing,10,9,13,11,13,291387,85,100.0,669.042,66.443,16.124,276.0,42.0,4,0.4496,True,1,False,2,0,2,0.0,0,2,2,3,0,2,0,10,True,5
1000,1000-B-sp+al-all-c9beb6ef2,25,P2,swap,15,0,shift_timing,12,10,14,15,15,367408,90,43.739,687.599,40.722,10.822,236.0,40.0,3,0.4006,True,0,False,2,0,2,0.0,0,1,1,1,0,1,0,9,True,4
1000,1000-B-sp+al-all-c9beb6ef2,26,P2,swap,15,1,rest;shift_timing,12,9,15,14,13,290633,75,100.0,772.407,62.224,77.232,308.0,40.0,4,0.4982,True,0,False,2,0,2,60.0,0,2,0,0,0,1,0,11,True,4
1000,1000-B-sp+al-all-c9beb6ef2,27,P2,swap,11,0,shift_timing,9,7,10,11,15,353266,95,47.118,656.454,81.593,13.066,200.0,40.0,3,0.3619,False,0,False,2,0,2,0.0,0,2,0,0,1,1,0,10,True,4
1000,1000-B-sp+al-all-c9beb6ef2,28,P2,swap,13,0,shift_timing,10,6,12,13,9,197213,70,31.864,625.087,35.195,104.092,238.0,40.0,5,0.4986,True,0,False,2,1,1,38.0,0,1,1,0,0,1,0,9,True,4
1000,1000-B-sp+al-all-c9beb6ef2,29,P2,swap,11,1,energy;shift_timing,8,6,11,10,11,235147,65,100.0,634.074,25.006,14.37,290.0,40.0,5,0.4733,True,1,False,2,0,2,0.0,0,1,1,0,0,0,0,9,True,5
1000,1000-B-sp+al-all-c9beb6ef2,30,P2,swap,14,1,energy;shift_timing,12,12,13,13,4,75635,25,98.251,654.32,91.077,6.452,412.0,42.0,9,0.6062,True,0,False,1,0,1,0.0,0,3,0,0,0,0,0,2,True,2
1000,1000-B-sp+al-all-c9beb6ef2,31,P3,swap,17,2,energy;shift_timing,14,12,17,15,15,324961,85,76.87,697.205,20.882,11.248,316.0,42.0,5,0.4866,True,1,False,2,0,2,0.0,0,1,1,0,0,1,0,11,True,5
1000,1000-B-sp+al-all-c9beb6ef2,32,P3,charge,12,1,energy;shift_timing,9,9,11,11,15,366030,75,67.182,678.087,0.0,210.0,134.0,40.0,1,0.4081,True,0,False,0,0,0,0.0,0,0,0,0,0,1,0,12,True,2
1000,1000-B-sp+al-all-c9beb6ef2,33,P3,swap,16,2,bonus_eligibility;energy;shift_timing,12,12,15,14,20,491092,120,100.0,738.947,31.257,63.069,200.0,40.0,3,0.4073,True,0,False,3,0,3,49.0,0,1,0,1,0,2,0,17,True,6
1000,1000-B-sp+al-all-c9beb6ef2,34,P3,swap,16,1,bonus_eligibility;shift_timing,14,13,16,15,13,333626,75,74.818,708.94,24.581,6.735,324.0,42.0,5,0.4359,True,0,False,2,0,2,0.0,0,1,1,2,0,1,0,9,True,4
1000,1000-B-sp+al-all-c9beb6ef2,35,P3,swap,16,3,bonus_eligibility;energy;shift_timing,12,11,16,13,15,330636,90,56.455,682.366,36.652,28.234,264.0,40.0,4,0.4712,True,2,True,2,0,2,13.0,0,1,0,1,0,2,0,11,True,6
1000,1000-B-sp+al-all-c9beb6ef2,36,P4,swap,12,1,bonus_eligibility;shift_timing,9,8,11,11,16,333320,95,50.588,498.202,23.84,7.174,124.0,16.327,0,0.4062,True,2,True,2,0,2,0.0,0,1,1,3,1,2,0,13,True,6
1000,1000-B-sp+al-all-c9beb6ef2,37,P4,swap,14,2,bonus_eligibility;energy;shift_timing,10,7,14,12,12,322500,75,97.924,519.263,64.586,19.799,146.0,41.687,2,0.4637,True,0,False,2,0,2,3.0,0,2,0,4,0,2,1,8,True,4
1000,1000-B-sp+al-all-c9beb6ef2,38,P4,swap,11,2,bonus_eligibility;rest;shift_timing,8,6,10,9,10,282499,65,98.124,570.922,113.069,40.617,134.0,40.0,1,0.4445,True,0,False,2,0,2,25.0,0,3,0,2,2,1,1,8,True,4
1000,1000-B-sp+al-all-c9beb6ef2,39,P4,swap,12,1,bonus_eligibility;shift_timing,8,5,11,11,8,282500,60,32.343,561.364,95.221,12.25,204.0,42.0,3,0.407,True,0,False,1,0,1,0.0,0,3,1,2,2,1,1,6,True,2
1000,1000-B-sp+al-all-c9beb6ef2,40,P4,swap,13,3,bonus_eligibility;energy;shift_timing,7,6,13,10,10,262499,55,43.727,552.677,91.883,7.633,212.0,40.0,2,0.5056,True,0,False,1,0,1,0.0,0,3,0,0,0,0,1,8,True,2
1000,1000-B-sp+al-all-c9beb6ef2,41,P4,swap,14,2,bonus_eligibility;energy;shift_timing,9,8,13,12,11,292500,65,36.182,530.573,52.976,1.877,216.0,40.0,3,0.4721,True,0,False,1,0,1,0.0,0,2,1,2,0,0,1,8,True,2
1000,1000-B-sp+al-all-c9beb6ef2,42,P4,swap,12,1,bonus_eligibility;shift_timing,8,8,11,11,11,262500,65,49.989,520.156,24.321,120.886,174.0,40.0,2,0.4543,True,0,False,2,1,1,55.0,0,1,0,4,0,0,1,10,True,4
1000,1000-B-sp+al-all-c9beb6ef2,43,P4,swap,12,1,bonus_eligibility;shift_timing,8,7,12,11,8,282501,55,36.788,546.502,106.065,8.584,180.0,40.0,2,0.4551,True,0,False,1,0,1,4.0,0,3,1,2,0,1,1,4,True,2
1000,1000-B-sp+al-all-c9beb6ef2,44,P4,swap,12,1,bonus_eligibility;shift_timing,8,5,12,11,10,262500,60,25.938,559.663,68.442,17.18,210.0,42.0,2,0.4811,True,0,False,1,0,1,9.0,0,2,0,2,0,0,1,5,True,2
1000,1000-B-sp+al-all-c9beb6ef2,45,P4,swap,11,1,bonus_eligibility;shift_timing,7,5,11,10,9,262500,55,54.808,522.465,84.534,42.731,164.0,40.0,2,0.536,True,0,False,1,0,1,36.0,0,2,0,2,1,0,1,8,True,2
1000,1000-B-sp+al-all-c9beb6ef2,46,P4,swap,12,1,bonus_eligibility;shift_timing,8,5,11,11,8,282500,60,45.675,553.455,94.812,45.61,162.0,40.0,2,0.503,True,0,False,1,0,1,42.0,0,3,0,1,1,1,1,6,True,2
1000,1000-B-sp+al-all-c9beb6ef2,47,P4,swap,11,1,bonus_eligibility;shift_timing,7,5,11,10,9,282499,60,61.909,537.563,93.354,56.147,176.0,40.0,2,0.4121,True,0,False,1,0,1,49.0,0,3,1,2,2,1,1,7,True,2
